annee,pays,nb_mots,nb_mots_ecologiques
2020,ITA.txt,84250,267
2020,HRV.txt,62825,240
2020,MLT.txt,37834,97
2020,POL.txt,255915,954
2020,CZE.txt,33793,123
2020,GBR.txt,48296,167
2020,DEU.txt,154076,476
2020,PRT.txt,60844,227
2020,SVK.txt,62761,262
2020,SVN.txt,29111,92
2020,LTU.txt,12575,65
2020,NLD.txt,59210,314
2020,DNK.txt,13881,69
2020,SWE.txt,52629,239
2020,HUN.txt,50921,107
2020,EST.txt,27998,52
2020,ESP.txt,157959,510
2020,LUX.txt,29160,48
2020,LVA.txt,11612,42
2020,GRC.txt,57691,141
2020,IRL.txt,100874,291
2020,CYP.txt,4227,3
2020,FIN.txt,11164,95
2020,ROU.txt,271338,750
2020,BEL.txt,116335,347
2020,FRA.txt,283003,1162
2020,AUT.txt,16964,99
2020,BGR.txt,37150,147
1999,ITA.txt,105591,171
1999,GBR.txt,174548,386
1999,DEU.txt,215125,485
1999,PRT.txt,32699,40
1999,NLD.txt,73591,220
1999,DNK.txt,25935,87
1999,SWE.txt,37975,180
1999,ESP.txt,184183,257
1999,LUX.txt,7380,26
1999,GRC.txt,52165,46
1999,IRL.txt,36568,208
1999,FIN.txt,46636,239
1999,BEL.txt,35990,78
1999,FRA.txt,189016,317
1999,AUT.txt,43375,81
2005,ITA.txt,213505,566
2005,MLT.txt,13054,24
2005,POL.txt,229481,399
2005,CZE.txt,45058,71
2005,GBR.txt,442834,888
2005,DEU.txt,540285,1099
2005,PRT.txt,188263,658
2005,SVK.txt,36628,121
2005,SVN.txt,20014,52
2005,LTU.txt,33041,43
2005,NLD.txt,150664,357
2005,DNK.txt,38354,103
2005,SWE.txt,110177,503
2005,HUN.txt,62592,196
2005,EST.txt,8390,25
2005,ESP.txt,304371,551
2005,LUX.txt,29929,154
2005,LVA.txt,20212,30
2005,GRC.txt,177267,543
2005,IRL.txt,86145,282
2005,CYP.txt,30464,88
2005,FIN.txt,51683,394
2005,BEL.txt,91320,264
2005,FRA.txt,271445,743
2005,AUT.txt,114881,280
2001,ITA.txt,317447,544
2001,GBR.txt,492590,1141
2001,DEU.txt,505174,845
2001,PRT.txt,130365,246
2001,NLD.txt,254463,750
2001,DNK.txt,79586,82
2001,SWE.txt,118461,517
2001,ESP.txt,536928,1071
2001,LUX.txt,35980,130
2001,GRC.txt,151414,299
2001,IRL.txt,129015,444
2001,FIN.txt,79583,453
2001,BEL.txt,97998,185
2001,FRA.txt,488065,946
2001,AUT.txt,107269,238
2024,ITA.txt,25456,93
2024,HRV.txt,11032,68
2024,MLT.txt,6593,25
2024,POL.txt,32213,64
2024,CZE.txt,6085,75
2024,DEU.txt,49657,344
2024,PRT.txt,12713,72
2024,SVK.txt,11163,39
2024,SVN.txt,4215,11
2024,LTU.txt,2223,7
2024,NLD.txt,13409,102
2024,DNK.txt,3138,44
2024,SWE.txt,11902,104
2024,HUN.txt,15150,28
2024,EST.txt,4232,7
2024,ESP.txt,46289,218
2024,LUX.txt,2973,4
2024,LVA.txt,223,0
2024,GRC.txt,5994,28
2024,IRL.txt,36188,215
2024,CYP.txt,642,0
2024,FIN.txt,2474,31
2024,ROU.txt,25187,63
2024,BEL.txt,17713,47
2024,FRA.txt,40811,176
2024,AUT.txt,2784,7
2024,BGR.txt,11973,45
2011,ITA.txt,681448,1878
2011,MLT.txt,42853,41
2011,POL.txt,407014,1096
2011,CZE.txt,101236,303
2011,GBR.txt,411454,800
2011,DEU.txt,466753,1258
2011,PRT.txt,781959,2861
2011,SVK.txt,217976,669
2011,SVN.txt,19555,71
2011,LTU.txt,323458,1407
2011,NLD.txt,120312,271
2011,DNK.txt,50107,96
2011,SWE.txt,82817,297
2011,HUN.txt,112113,341
2011,EST.txt,48222,149
2011,ESP.txt,294620,786
2011,LUX.txt,34109,114
2011,LVA.txt,54395,177
2011,GRC.txt,203262,654
2011,IRL.txt,160956,373
2011,CYP.txt,22873,38
2011,FIN.txt,82410,238
2011,ROU.txt,407293,1559
2011,BEL.txt,182450,445
2011,FRA.txt,482736,1428
2011,AUT.txt,206863,743
2011,BGR.txt,85320,193
2015,ITA.txt,1328280,4742
2015,HRV.txt,699542,2724
2015,MLT.txt,197384,657
2015,POL.txt,315318,1175
2015,CZE.txt,256752,725
2015,GBR.txt,703384,1784
2015,DEU.txt,671589,1504
2015,PRT.txt,610632,2230
2015,SVK.txt,279163,871
2015,SVN.txt,224827,913
2015,LTU.txt,222169,1003
2015,NLD.txt,107756,307
2015,DNK.txt,38049,220
2015,SWE.txt,107544,376
2015,HUN.txt,465221,1709
2015,EST.txt,77131,225
2015,ESP.txt,1227347,3491
2015,LUX.txt,21807,221
2015,LVA.txt,68901,231
