annee,mots_totaux,mots_ecologiques,proportion_ecologique
1999,1260777,2821,0.002237509091615726
2000,3704189,7693,0.0020768378719336405
2001,3524338,7891,0.0022390020480442
2002,3279566,7737,0.002359153619716755
2003,3506075,7261,0.0020709768045463943
2004,2454275,4768,0.0019427325788674862
2005,3310057,8434,0.002547992375962106
2006,3617979,11309,0.003125778231438049
2007,3502367,12151,0.003469368001697138
2008,4082826,16336,0.004001150183720785
2009,3219402,11043,0.003430140131614505
2010,4546294,16117,0.003545085293647969
2011,6084564,18286,0.0030053098299237216
2012,5578102,17757,0.0031833408568003956
2013,6712331,24949,0.0037168906002996572
2014,5721570,16548,0.002892213151285399
2015,10757933,34756,0.0032307321490104095
2016,12574085,42428,0.0033742415452098504
2017,3651222,9875,0.002704573975507378
2018,3629339,10008,0.002757526921568914
2019,2847806,9873,0.0034668794152410663
2020,2144396,7386,0.0034443265143191838
2021,3215788,13536,0.004209232698175377
2022,3371034,17219,0.005107928309236869
2023,1962561,8386,0.004272988202659688
2024,402432,1917,0.0047635376908396945
