topic,mot,poids
0,council,0.008470129
0,member,0.0065532983
0,president,0.006428209
0,states,0.0052597173
0,countries,0.004524851
0,report,0.0045094313
0,therefore,0.004494075
0,policy,0.004299895
0,important,0.0040565515
0,already,0.0038274627
0,europe,0.0037536277
0,commissioner,0.0032911529
1,president,0.0091041485
1,europe,0.0063295844
1,people,0.006008685
1,need,0.005254672
1,states,0.005046953
1,member,0.0047689914
1,rights,0.0037260214
1,time,0.0036708498
1,support,0.0035604117
1,important,0.0033792784
1,council,0.0032734245
1,today,0.0032307191
2,president,0.007830959
2,council,0.006227063
2,states,0.0054726466
2,europe,0.005145122
2,member,0.004799605
2,think,0.0047260984
2,thank,0.0043139844
2,important,0.004284622
2,already,0.004202289
2,report,0.0041337935
2,time,0.004129604
2,make,0.0036476655
3,states,0.0072496026
3,writing,0.0062100063
3,member,0.006195353
3,economic,0.0046064607
3,report,0.0045785983
3,countries,0.0044458387
3,rights,0.0042692497
3,president,0.0038384048
3,important,0.0036835189
3,support,0.0036817577
3,believe,0.0036791223
3,market,0.003623004
4,report,0.008000786
4,president,0.0069682878
4,member,0.0061733997
4,writing,0.006003498
4,people,0.005911855
4,states,0.0056665256
4,need,0.0049489187
4,support,0.004448479
4,europe,0.003654695
4,voted,0.0036336973
4,countries,0.0031862203
4,rights,0.003134545
5,writing,0.0148224635
5,report,0.0103753125
5,voted,0.007957895
5,member,0.0077078473
5,favour,0.007618403
5,states,0.0072719455
5,support,0.004506561
5,agreement,0.004462111
5,financial,0.004435968
5,therefore,0.0042438423
5,rights,0.0038115652
5,market,0.0036374992
6,report,0.0076200846
6,states,0.007171204
6,writing,0.006955629
6,member,0.0061200554
6,voted,0.0045904834
6,countries,0.0044437144
6,economic,0.004254904
6,support,0.0042412654
6,therefore,0.003941088
6,important,0.0037744315
6,policy,0.0037495198
6,social,0.0036987422
7,president,0.009382982
7,europe,0.0075100944
7,states,0.005621921
7,countries,0.0054737614
7,member,0.0048554065
7,work,0.0045392513
7,council,0.004087295
7,today,0.00376365
7,rights,0.0037048182
7,important,0.0036039697
7,report,0.0035562683
7,need,0.0034980238
8,report,0.010851215
8,writing,0.008144796
8,states,0.0058386214
8,member,0.0056243995
8,council,0.0052366294
8,president,0.0049673053
8,countries,0.0041299746
8,support,0.00408393
8,europe,0.0038684767
8,people,0.0037063714
8,measures,0.0035838336
8,economic,0.003562422
9,president,0.008500056
9,council,0.004938398
9,europe,0.0047224937
9,member,0.004673255
9,report,0.0044956463
9,states,0.004463892
9,time,0.0038702404
9,people,0.003717886
9,take,0.0036718803
9,rights,0.003520091
9,countries,0.0032967925
9,support,0.0032802501
