topic,mot,poids
0,energy,0.020204686
0,environment,0.0158554
0,environmental,0.013974783
0,policy,0.008011812
0,climate,0.007497314
0,waste,0.0074368548
0,committee,0.006956233
0,sustainable,0.0067582917
0,emissions,0.006348672
0,development,0.005530722
0,protection,0.0050784075
0,directive,0.005068192
1,energy,0.030269403
1,sustainable,0.013848759
1,environment,0.011884861
1,development,0.011119881
1,report,0.008688195
1,environmental,0.0059280396
1,market,0.0059055453
1,climate,0.005733027
1,member,0.005617736
1,states,0.005218647
1,economic,0.0050537004
1,health,0.0050270455
2,energy,0.02102168
2,environment,0.011551331
2,environmental,0.011310869
2,sustainable,0.010636815
2,climate,0.008355152
2,change,0.007498871
2,development,0.007060792
2,economic,0.006530508
2,report,0.005976021
2,policy,0.0050576995
2,member,0.004998465
2,waste,0.0048094853
3,energy,0.03367283
3,climate,0.023483803
3,change,0.009109692
3,sustainable,0.008386859
3,environment,0.008069431
3,environmental,0.0063876845
3,need,0.0062506087
3,europe,0.0062117293
3,emissions,0.0058633173
3,policy,0.0048943465
3,president,0.004737186
3,important,0.003913864
4,environment,0.010381631
4,environmental,0.010027712
4,energy,0.008752722
4,sustainable,0.00863929
4,development,0.007018213
4,protection,0.006203113
4,climate,0.005112504
4,economic,0.004681609
4,waste,0.004408073
4,countries,0.003895522
4,policy,0.0038009924
4,report,0.003657338
5,climate,0.01762207
5,sustainable,0.014961856
5,environment,0.011606892
5,environmental,0.009892387
5,change,0.008826121
5,energy,0.006987812
5,social,0.0065261237
5,development,0.0064136307
5,president,0.0058348477
5,emissions,0.004938937
5,need,0.004840914
5,europe,0.0047506634
6,energy,0.017366122
6,environment,0.013477654
6,environmental,0.0130450055
6,sustainable,0.00869767
6,policy,0.0082178945
6,development,0.0071208943
6,economic,0.006809137
6,protection,0.005994478
6,council,0.005357611
6,change,0.0045896065
6,climate,0.0045047305
6,community,0.0044776816
7,energy,0.018436829
7,sustainable,0.012658801
7,environment,0.011023769
7,environmental,0.00896463
7,development,0.007675822
7,report,0.007510868
7,economic,0.0062581743
7,social,0.0061984067
7,protection,0.006152322
7,climate,0.0056198677
7,favour,0.005325743
7,policy,0.0051399693
8,energy,0.030535098
8,sustainable,0.011801363
8,environment,0.009681949
8,climate,0.007961374
8,emissions,0.0071377885
8,development,0.00699831
8,environmental,0.0068359296
8,states,0.006624504
8,report,0.006037392
8,policy,0.005904705
8,change,0.0058535407
8,europe,0.005791157
9,environment,0.023178488
9,environmental,0.017066998
9,development,0.009143591
9,sustainable,0.00885217
9,waste,0.007933499
9,energy,0.007465445
9,policy,0.0062726173
9,protection,0.0062626554
9,committee,0.0058446685
9,health,0.0049691037
9,directive,0.0049607474
9,social,0.0048454627
