annee,topic,mot,poids
2006.0,0,energy,0.03234932
2006.0,0,environment,0.012854264
2006.0,0,environmental,0.011009823
2006.0,0,policy,0.008586235
2006.0,0,sustainable,0.0074974466
2006.0,0,development,0.0064119995
2006.0,0,climate,0.0059817107
2006.0,0,europe,0.0050505167
2006.0,0,emissions,0.004922164
2006.0,0,protection,0.0046732817
2006.0,1,energy,0.002760253
2006.0,1,environment,0.0019034735
2006.0,1,environmental,0.0016554525
2006.0,1,sustainable,0.001320355
2006.0,1,social,0.0013064349
2006.0,1,policy,0.0011363565
2006.0,1,report,0.001010493
2006.0,1,development,0.00093713636
2006.0,1,important,0.00082188606
2006.0,1,states,0.00076374254
2006.0,2,energy,0.0023593055
2006.0,2,environment,0.0022037432
2006.0,2,environmental,0.0010069621
2006.0,2,sustainable,0.0009487226
2006.0,2,policy,0.00090895325
2006.0,2,protection,0.0007918001
2006.0,2,development,0.0007559902
2006.0,2,social,0.0007483775
2006.0,2,europe,0.0006038958
2006.0,2,health,0.00059812627
2006.0,3,energy,0.03328247
2006.0,3,environment,0.015078463
2006.0,3,environmental,0.01014223
2006.0,3,policy,0.008139744
2006.0,3,sustainable,0.006299821
2006.0,3,development,0.0058394545
2006.0,3,health,0.0051640878
2006.0,3,member,0.0051367097
2006.0,3,states,0.005110974
2006.0,3,europe,0.0045465347
2006.0,4,energy,0.0023743154
2006.0,4,environment,0.0011609638
2006.0,4,environmental,0.001140974
2006.0,4,sustainable,0.0008477125
2006.0,4,development,0.00067339203
2006.0,4,directive,0.0006599864
2006.0,4,policy,0.00065986573
2006.0,4,emissions,0.00059980684
2006.0,4,health,0.00058447436
2006.0,4,states,0.00057905423
2006.0,5,energy,0.0016567329
2006.0,5,environment,0.0011149428
2006.0,5,environmental,0.00068764086
2006.0,5,sustainable,0.0005873058
2006.0,5,social,0.00046083037
2006.0,5,emissions,0.00045970926
2006.0,5,europe,0.0004542788
2006.0,5,development,0.0004425571
2006.0,5,protection,0.00040855107
2006.0,5,policy,0.0004060221
