annee,topic,mot,poids
1999.0,0,energy,0.0014364673
1999.0,0,environmental,0.0008920865
1999.0,0,environment,0.0008466313
1999.0,0,policy,0.00072543713
1999.0,0,emissions,0.00064355193
1999.0,0,climate,0.00053678785
1999.0,0,committee,0.0005274222
1999.0,0,trade,0.0005053348
1999.0,0,countries,0.0004934935
1999.0,0,protection,0.0004897517
1999.0,1,energy,0.0129028605
1999.0,1,environment,0.009417433
1999.0,1,environmental,0.0071897027
1999.0,1,climate,0.006921278
1999.0,1,nuclear,0.0068454994
1999.0,1,protection,0.004760335
1999.0,1,world,0.0042474633
1999.0,1,policy,0.0041541364
1999.0,1,council,0.0041116136
1999.0,1,consumption,0.0040807296
1999.0,2,energy,0.00095557584
1999.0,2,environment,0.0007583209
1999.0,2,environmental,0.00075045263
1999.0,2,emissions,0.0006241505
1999.0,2,policy,0.0005300133
1999.0,2,climate,0.00044777512
1999.0,2,protection,0.0004343088
1999.0,2,sustainable,0.0004298969
1999.0,2,renewable,0.00042936817
1999.0,2,development,0.00040525058
1999.0,3,energy,0.00092766865
1999.0,3,environment,0.0009146891
1999.0,3,environmental,0.00080307387
1999.0,3,policy,0.0005264106
1999.0,3,development,0.0005131069
1999.0,3,climate,0.00048409955
1999.0,3,sustainable,0.0004652639
1999.0,3,protection,0.00044833397
1999.0,3,countries,0.00043330854
1999.0,3,emissions,0.00042087727
1999.0,4,energy,0.02533413
1999.0,4,environment,0.016304092
1999.0,4,environmental,0.013636413
1999.0,4,emissions,0.008684404
1999.0,4,policy,0.008471522
1999.0,4,climate,0.0060906755
1999.0,4,committee,0.0060129934
1999.0,4,sustainable,0.0058541973
1999.0,4,development,0.0056691826
1999.0,4,protection,0.0056192623
1999.0,5,weapons,0.0043987012
1999.0,5,respect,0.0029670964
1999.0,5,covered,0.0022833908
1999.0,5,contributed,0.0021574916
1999.0,5,multifunctional,0.0021555724
1999.0,5,testing,0.0021408708
1999.0,5,throughout,0.0020116728
1999.0,5,wealth,0.0019390617
1999.0,5,nuclear,0.0018831891
1999.0,5,education,0.0017703916
2000.0,0,environment,0.015973894
2000.0,0,waste,0.009779065
2000.0,0,energy,0.008975809
2000.0,0,environmental,0.008295183
2000.0,0,development,0.008164493
2000.0,0,pollution,0.007749129
2000.0,0,sustainable,0.0069021946
2000.0,0,protection,0.0056290315
2000.0,0,social,0.004748492
2000.0,0,health,0.004710846
2000.0,1,environmental,0.0010596259
2000.0,1,environment,0.0008990761
2000.0,1,energy,0.00082445086
2000.0,1,committee,0.000809599
2000.0,1,policy,0.0005884334
2000.0,1,waste,0.0005583871
2000.0,1,protection,0.0005222614
2000.0,1,pollution,0.00048773043
2000.0,1,development,0.00047410844
2000.0,1,climate,0.00047028626
2000.0,2,environmental,0.001269925
2000.0,2,environment,0.001088382
2000.0,2,energy,0.0009447646
2000.0,2,committee,0.0005966674
2000.0,2,sustainable,0.00053120614
2000.0,2,policy,0.00052974914
2000.0,2,waste,0.00046302442
2000.0,2,emissions,0.00042287254
2000.0,2,climate,0.000399365
2000.0,2,protection,0.00039541587
2000.0,3,environment,0.0012548678
2000.0,3,energy,0.0011875132
2000.0,3,environmental,0.0010927054
2000.0,3,committee,0.00068608735
2000.0,3,waste,0.0006824773
2000.0,3,protection,0.00059758057
2000.0,3,pollution,0.0005771226
2000.0,3,development,0.0005155425
2000.0,3,council,0.00045214882
2000.0,3,sustainable,0.00044447297
2000.0,4,environmental,0.001523428
2000.0,4,environment,0.0014516327
2000.0,4,energy,0.0013844046
2000.0,4,waste,0.00087933004
2000.0,4,committee,0.0008176515
2000.0,4,development,0.0007121116
2000.0,4,report,0.00067879306
2000.0,4,pollution,0.0006604626
2000.0,4,sustainable,0.0006368525
2000.0,4,protection,0.0006172876
2000.0,5,environment,0.019555174
2000.0,5,environmental,0.016036982
2000.0,5,energy,0.013769963
2000.0,5,waste,0.00847175
2000.0,5,committee,0.0077928994
2000.0,5,policy,0.0062466995
2000.0,5,protection,0.0057352544
2000.0,5,sustainable,0.0048888605
2000.0,5,directive,0.0048200805
2000.0,5,pollution,0.0045353533
2001.0,0,environment,0.0011605098
2001.0,0,energy,0.0011189812
2001.0,0,environmental,0.00092550705
2001.0,0,sustainable,0.000787631
2001.0,0,development,0.0005653167
2001.0,0,council,0.0005239348
2001.0,0,policy,0.0004887753
2001.0,0,report,0.00046769137
2001.0,0,protection,0.00046230986
2001.0,0,committee,0.00045065788
2001.0,1,environmental,0.016482187
2001.0,1,environment,0.013013677
2001.0,1,energy,0.009465616
2001.0,1,waste,0.008252329
2001.0,1,sustainable,0.007354814
2001.0,1,nuclear,0.0060415147
2001.0,1,committee,0.0043367837
2001.0,1,development,0.0042825816
2001.0,1,health,0.004016589
2001.0,1,directive,0.0039299596
2001.0,2,environment,0.016935032
2001.0,2,energy,0.010244829
2001.0,2,environmental,0.007731172
2001.0,2,protection,0.005956941
2001.0,2,development,0.005852413
2001.0,2,policy,0.0058040037
2001.0,2,sustainable,0.005366286
2001.0,2,social,0.005138511
2001.0,2,public,0.004695279
2001.0,2,report,0.0041158674
2001.0,3,environmental,0.0011718629
2001.0,3,environment,0.0010645665
2001.0,3,energy,0.0010049103
2001.0,3,sustainable,0.0007590324
2001.0,3,development,0.0007408704
2001.0,3,committee,0.0005451732
2001.0,3,protection,0.00054139784
2001.0,3,waste,0.0005404441
2001.0,3,council,0.0004557868
2001.0,3,policy,0.0004457327
2001.0,4,environment,0.018663993
2001.0,4,environmental,0.017512593
2001.0,4,energy,0.014290773
2001.0,4,sustainable,0.009689115
2001.0,4,development,0.008334425
2001.0,4,committee,0.008025325
2001.0,4,policy,0.006880094
2001.0,4,waste,0.0057945037
2001.0,4,protection,0.005442136
2001.0,4,council,0.0053106872
2001.0,5,environment,0.0010861485
2001.0,5,environmental,0.0010709822
2001.0,5,energy,0.0010166446
2001.0,5,development,0.00052491424
2001.0,5,sustainable,0.00052049215
2001.0,5,policy,0.00049536134
2001.0,5,committee,0.00048718555
2001.0,5,president,0.0004506535
2001.0,5,waste,0.00044191434
2001.0,5,directive,0.00042689504
2002.0,0,environmental,0.0015535089
2002.0,0,environment,0.0015190842
2002.0,0,energy,0.0011296816
2002.0,0,development,0.0009294763
2002.0,0,sustainable,0.0008748904
