annee,type,topic,valeur
1999.0,topic_weight,0,0.0
1999.0,topic_weight,1,0.7441444993019104
1999.0,topic_weight,2,0.0
1999.0,topic_weight,3,0.0
1999.0,topic_weight,4,14.015268325805664
1999.0,topic_weight,5,0.22749683260917664
1999.0,nb_topics_actifs,,1.0
1999.0,mot_cle_eco,environment,475.0
1999.0,mot_cle_eco,environmental,396.0
1999.0,mot_cle_eco,climate,185.0
1999.0,mot_cle_eco,global,47.0
1999.0,mot_cle_eco,warming,19.0
1999.0,mot_cle_eco,biodiversity,5.0
1999.0,mot_cle_eco,ecosystem,4.0
1999.0,mot_cle_eco,pollution,90.0
1999.0,mot_cle_eco,sustainable,167.0
1999.0,mot_cle_eco,sustainability,22.0
1999.0,mot_cle_eco,renewable,159.0
1999.0,mot_cle_eco,energy,734.0
1999.0,mot_cle_eco,carbon,57.0
1999.0,mot_cle_eco,greenhouse,47.0
1999.0,mot_cle_eco,emissions,246.0
1999.0,mot_cle_eco,ecological,48.0
1999.0,mot_cle_eco,atmospheric,1.0
1999.0,mot_cle_eco,ozone,57.0
1999.0,mot_cle_eco,waste,93.0
2000.0,topic_weight,0,1.765485405921936
2000.0,topic_weight,1,0.0
2000.0,topic_weight,2,0.0
2000.0,topic_weight,3,0.0
2000.0,topic_weight,4,0.0
2000.0,topic_weight,5,13.230730056762695
2000.0,nb_topics_actifs,,2.0
2000.0,mot_cle_eco,environment,1676.0
2000.0,mot_cle_eco,environmental,1299.0
2000.0,mot_cle_eco,climate,354.0
2000.0,mot_cle_eco,global,76.0
2000.0,mot_cle_eco,warming,21.0
2000.0,mot_cle_eco,biodiversity,34.0
2000.0,mot_cle_eco,ecosystem,25.0
2000.0,mot_cle_eco,pollution,454.0
2000.0,mot_cle_eco,sustainable,466.0
2000.0,mot_cle_eco,sustainability,102.0
2000.0,mot_cle_eco,renewable,299.0
2000.0,mot_cle_eco,energy,1145.0
2000.0,mot_cle_eco,carbon,76.0
2000.0,mot_cle_eco,greenhouse,128.0
2000.0,mot_cle_eco,emissions,337.0
2000.0,mot_cle_eco,ecological,194.0
2000.0,mot_cle_eco,atmospheric,7.0
2000.0,mot_cle_eco,ozone,87.0
2000.0,mot_cle_eco,waste,772.0
2001.0,topic_weight,0,0.0
