annee,pays,fichier,score_eco
1999.0,ITA,data/processed/EUPDCorp_TXT/1999.0/ITA.txt,0.99999994
1999.0,GBR,data/processed/EUPDCorp_TXT/1999.0/GBR.txt,0.99999994
1999.0,DEU,data/processed/EUPDCorp_TXT/1999.0/DEU.txt,0.99999994
1999.0,PRT,data/processed/EUPDCorp_TXT/1999.0/PRT.txt,1.0
1999.0,NLD,data/processed/EUPDCorp_TXT/1999.0/NLD.txt,1.0
1999.0,DNK,data/processed/EUPDCorp_TXT/1999.0/DNK.txt,1.0000001
1999.0,SWE,data/processed/EUPDCorp_TXT/1999.0/SWE.txt,1.0000001
1999.0,ESP,data/processed/EUPDCorp_TXT/1999.0/ESP.txt,1.0
1999.0,LUX,data/processed/EUPDCorp_TXT/1999.0/LUX.txt,1.0
1999.0,GRC,data/processed/EUPDCorp_TXT/1999.0/GRC.txt,1.0
1999.0,IRL,data/processed/EUPDCorp_TXT/1999.0/IRL.txt,0.99999994
1999.0,FIN,data/processed/EUPDCorp_TXT/1999.0/FIN.txt,1.0
1999.0,BEL,data/processed/EUPDCorp_TXT/1999.0/BEL.txt,1.0000002
1999.0,FRA,data/processed/EUPDCorp_TXT/1999.0/FRA.txt,1.0000001
1999.0,AUT,data/processed/EUPDCorp_TXT/1999.0/AUT.txt,1.0000001
2000.0,ITA,data/processed/EUPDCorp_TXT/2000.0/ITA.txt,1.0
2000.0,GBR,data/processed/EUPDCorp_TXT/2000.0/GBR.txt,1.0000001
2000.0,DEU,data/processed/EUPDCorp_TXT/2000.0/DEU.txt,1.0000001
2000.0,PRT,data/processed/EUPDCorp_TXT/2000.0/PRT.txt,1.0
2000.0,NLD,data/processed/EUPDCorp_TXT/2000.0/NLD.txt,0.99999994
2000.0,DNK,data/processed/EUPDCorp_TXT/2000.0/DNK.txt,0.99999994
2000.0,SWE,data/processed/EUPDCorp_TXT/2000.0/SWE.txt,1.0
2000.0,ESP,data/processed/EUPDCorp_TXT/2000.0/ESP.txt,1.0
2000.0,LUX,data/processed/EUPDCorp_TXT/2000.0/LUX.txt,1.0000001
2000.0,GRC,data/processed/EUPDCorp_TXT/2000.0/GRC.txt,1.0
2000.0,IRL,data/processed/EUPDCorp_TXT/2000.0/IRL.txt,1.0
2000.0,FIN,data/processed/EUPDCorp_TXT/2000.0/FIN.txt,1.0
2000.0,BEL,data/processed/EUPDCorp_TXT/2000.0/BEL.txt,0.9999998
2000.0,FRA,data/processed/EUPDCorp_TXT/2000.0/FRA.txt,0.9999999
2000.0,AUT,data/processed/EUPDCorp_TXT/2000.0/AUT.txt,1.0
2001.0,ITA,data/processed/EUPDCorp_TXT/2001.0/ITA.txt,1.0
2001.0,GBR,data/processed/EUPDCorp_TXT/2001.0/GBR.txt,1.0
2001.0,DEU,data/processed/EUPDCorp_TXT/2001.0/DEU.txt,1.0000001
2001.0,PRT,data/processed/EUPDCorp_TXT/2001.0/PRT.txt,1.0
2001.0,NLD,data/processed/EUPDCorp_TXT/2001.0/NLD.txt,1.0000001
2001.0,DNK,data/processed/EUPDCorp_TXT/2001.0/DNK.txt,1.0000001
2001.0,SWE,data/processed/EUPDCorp_TXT/2001.0/SWE.txt,1.0
2001.0,ESP,data/processed/EUPDCorp_TXT/2001.0/ESP.txt,1.0
2001.0,LUX,data/processed/EUPDCorp_TXT/2001.0/LUX.txt,1.0000002
2001.0,GRC,data/processed/EUPDCorp_TXT/2001.0/GRC.txt,1.0
2001.0,IRL,data/processed/EUPDCorp_TXT/2001.0/IRL.txt,0.99999994
2001.0,FIN,data/processed/EUPDCorp_TXT/2001.0/FIN.txt,1.0
2001.0,BEL,data/processed/EUPDCorp_TXT/2001.0/BEL.txt,1.0000001
2001.0,FRA,data/processed/EUPDCorp_TXT/2001.0/FRA.txt,1.0
2001.0,AUT,data/processed/EUPDCorp_TXT/2001.0/AUT.txt,1.0
2002.0,ITA,data/processed/EUPDCorp_TXT/2002.0/ITA.txt,0.9999999
2002.0,GBR,data/processed/EUPDCorp_TXT/2002.0/GBR.txt,1.0
2002.0,DEU,data/processed/EUPDCorp_TXT/2002.0/DEU.txt,0.99999994
2002.0,PRT,data/processed/EUPDCorp_TXT/2002.0/PRT.txt,1.0
2002.0,NLD,data/processed/EUPDCorp_TXT/2002.0/NLD.txt,0.99999994
2002.0,DNK,data/processed/EUPDCorp_TXT/2002.0/DNK.txt,1.0000001
2002.0,SWE,data/processed/EUPDCorp_TXT/2002.0/SWE.txt,1.0
2002.0,ESP,data/processed/EUPDCorp_TXT/2002.0/ESP.txt,1.0
2002.0,LUX,data/processed/EUPDCorp_TXT/2002.0/LUX.txt,1.0000001
2002.0,GRC,data/processed/EUPDCorp_TXT/2002.0/GRC.txt,1.0
2002.0,IRL,data/processed/EUPDCorp_TXT/2002.0/IRL.txt,1.0
2002.0,FIN,data/processed/EUPDCorp_TXT/2002.0/FIN.txt,1.0000001
2002.0,BEL,data/processed/EUPDCorp_TXT/2002.0/BEL.txt,1.0
2002.0,FRA,data/processed/EUPDCorp_TXT/2002.0/FRA.txt,1.0
2002.0,AUT,data/processed/EUPDCorp_TXT/2002.0/AUT.txt,1.0
2003.0,ITA,data/processed/EUPDCorp_TXT/2003.0/ITA.txt,1.0
2003.0,GBR,data/processed/EUPDCorp_TXT/2003.0/GBR.txt,1.0000001
2003.0,DEU,data/processed/EUPDCorp_TXT/2003.0/DEU.txt,1.0
2003.0,PRT,data/processed/EUPDCorp_TXT/2003.0/PRT.txt,0.99999994
2003.0,NLD,data/processed/EUPDCorp_TXT/2003.0/NLD.txt,1.0
2003.0,DNK,data/processed/EUPDCorp_TXT/2003.0/DNK.txt,1.0
2003.0,SWE,data/processed/EUPDCorp_TXT/2003.0/SWE.txt,1.0
2003.0,ESP,data/processed/EUPDCorp_TXT/2003.0/ESP.txt,1.0
2003.0,LUX,data/processed/EUPDCorp_TXT/2003.0/LUX.txt,1.0000002
2003.0,GRC,data/processed/EUPDCorp_TXT/2003.0/GRC.txt,1.0
2003.0,IRL,data/processed/EUPDCorp_TXT/2003.0/IRL.txt,1.0
2003.0,FIN,data/processed/EUPDCorp_TXT/2003.0/FIN.txt,1.0000001
2003.0,BEL,data/processed/EUPDCorp_TXT/2003.0/BEL.txt,1.0
2003.0,FRA,data/processed/EUPDCorp_TXT/2003.0/FRA.txt,0.99999994
2003.0,AUT,data/processed/EUPDCorp_TXT/2003.0/AUT.txt,0.99999994
2004.0,ITA,data/processed/EUPDCorp_TXT/2004.0/ITA.txt,0.99999994
2004.0,MLT,data/processed/EUPDCorp_TXT/2004.0/MLT.txt,1.0
2004.0,POL,data/processed/EUPDCorp_TXT/2004.0/POL.txt,1.0
2004.0,CZE,data/processed/EUPDCorp_TXT/2004.0/CZE.txt,1.0
2004.0,GBR,data/processed/EUPDCorp_TXT/2004.0/GBR.txt,1.0
2004.0,DEU,data/processed/EUPDCorp_TXT/2004.0/DEU.txt,1.0
2004.0,PRT,data/processed/EUPDCorp_TXT/2004.0/PRT.txt,1.0
2004.0,SVK,data/processed/EUPDCorp_TXT/2004.0/SVK.txt,0.9999999
2004.0,SVN,data/processed/EUPDCorp_TXT/2004.0/SVN.txt,1.0
2004.0,LTU,data/processed/EUPDCorp_TXT/2004.0/LTU.txt,0.99999994
2004.0,NLD,data/processed/EUPDCorp_TXT/2004.0/NLD.txt,0.9999998
2004.0,DNK,data/processed/EUPDCorp_TXT/2004.0/DNK.txt,1.0
2004.0,SWE,data/processed/EUPDCorp_TXT/2004.0/SWE.txt,1.0000001
2004.0,HUN,data/processed/EUPDCorp_TXT/2004.0/HUN.txt,0.99999994
2004.0,EST,data/processed/EUPDCorp_TXT/2004.0/EST.txt,0.9999999
2004.0,ESP,data/processed/EUPDCorp_TXT/2004.0/ESP.txt,0.99999994
2004.0,LUX,data/processed/EUPDCorp_TXT/2004.0/LUX.txt,0.99999994
2004.0,LVA,data/processed/EUPDCorp_TXT/2004.0/LVA.txt,1.0000001
2004.0,GRC,data/processed/EUPDCorp_TXT/2004.0/GRC.txt,1.0
2004.0,IRL,data/processed/EUPDCorp_TXT/2004.0/IRL.txt,1.0000001
2004.0,CYP,data/processed/EUPDCorp_TXT/2004.0/CYP.txt,0.9999999
2004.0,FIN,data/processed/EUPDCorp_TXT/2004.0/FIN.txt,1.0000001
2004.0,BEL,data/processed/EUPDCorp_TXT/2004.0/BEL.txt,0.99999994
2004.0,FRA,data/processed/EUPDCorp_TXT/2004.0/FRA.txt,1.0
2004.0,AUT,data/processed/EUPDCorp_TXT/2004.0/AUT.txt,1.0
2005.0,ITA,data/processed/EUPDCorp_TXT/2005.0/ITA.txt,0.9999999
