pays,score_eco_total
PRT,16.281802624022777
FRA,16.28016278422323
DEU,16.15812727331699
ESP,16.147543726232996
ITA,16.08448960244629
FIN,15.765622814650088
BEL,15.459250595072076
SWE,15.432479121799181
NLD,15.212812987229697
GRC,15.004390156972525
AUT,14.544472066194933
DNK,13.917201514655384
LUX,13.293926872298403
POL,12.713849731404313
GBR,12.545552449816176
IRL,12.333481947386833
CZE,11.92517088243132
SVK,11.789837031658685
ROU,11.462693261294147
LTU,11.216115574625007
HUN,11.135767454374704
SVN,10.828030772897979
MLT,10.671076641046728
BGR,10.349863209555187
EST,9.919015428711065
LVA,9.694071879211213
CYP,8.788131783499669
HRV,6.999503834401648
