pays,annee_max_eco,score_eco_max_annee,score_eco_total_pays
PRT,2016.0,0.724755663806548,16.28180262402278
FRA,2022.0,0.688926811735954,16.28016278422323
DEU,2021.0,0.6551397078492832,16.15812727331699
ESP,2008.0,0.6714146068415121,16.147543726233
ITA,2005.0,0.661411769207789,16.08448960244629
FIN,2022.0,0.6808780263250351,15.765622814650088
BEL,2021.0,0.6433661079012262,15.459250595072076
SWE,2008.0,0.6424909897356992,15.432479121799181
NLD,2002.0,0.6458166279433483,15.212812987229697
GRC,2007.0,0.6778009707678696,15.004390156972525
